Arabic	English
كان سامي راغبا في أن يعتقل.	sami wanted to be arrested.
كان سامي راغبا في تجريب كل شيء.	sami was willing to try anything.
كان سامي راغبا في سماع صوت ليلي.	sami wanted to hear layla's voice.
كان سامي راكبا الحافله إلي العمل.	sami was riding the bus to work.
كان سامي رجل أسره مسيحي.	sami was a christian family man.
كان سامي رئيسا لرجال الإطفاء.	sami was a fire chief.
كان سامي زعيما محترما في البلده.	sami was a respected leader in the community.
كان سامي زعيما محترما في الحي.	sami was a respected leader in the community.
كان سامي سعيدا بحياته.	sami was happy with his life.
كان سامي سيتزوج.	sami was getting married.
كان سامي سيغادر المدرسه.	sami was leaving school.
كان سامي سيقبض.	sami was going to get caught.
كان سامي سينتظر.	sami was going to wait.
كان سامي شخصا أنانيا يعيش وحده.	sami was a self-centered person who lived by himself.
كان سامي شخصا مثاليا.	sami was perfect.
كان سامي شخصا مقنعا جدا في كلامه.	sami was very persuasive.
كان سامي شديد الاهتمام باحترام المواعيد.	sami was highly concerned about punctuality.
كان سامي شرطي مرور يبلغ من العمر 32 سنه.	sami was a 32-year-old traffic cop.
كان سامي شريك ليلي في الرقص.	sami was layla's dance partner.
كان سامي صائما.	sami was fasting.
كان سامي صديقا لشخص يدعي فريد باكر.	sami was friends with someone named farid bakir.
كان سامي صديقا لكلا ليلي و فريد.	sami was mutual friends with layla and farid.
كان سامي صديقا للكثير من أصدقاء فريد.	sami was friends with a lot of farid's friends.
كان سامي صديقا لليلي.	sami was friends with layla.
كان سامي صديق فريد في الجامعه.	sami was farid's college friend.
كان سامي ضعيفا.	sami was weak.
كان سامي طالبا مسلما.	sami was a muslim student.
كان سامي طبيبا جيدا من وجهه نظر تقنيه، لكن مشكل إدمانه علي الكحول منعه من ممارسه مهنته.	sami was technically a good doctor, but his alcohol abuse prevented him from practising.
كان سامي طبيبا مشعوذا.	sami was a witch doctor.
كان سامي طبيبا يتقاضي راتبا معتبرا و يتمتع بسمعه جيده.	sami was a doctor with a comfortable salary and a reputation.
كان سامي طفلا رائعا.	sami was an extraordinary child.
كان سامي طفلا مبدعا.	sami was a creative child.
كان سامي عاده ما يدخل و يغادر المستشفي.	sami was in and out of hospital.
كان سامي عاشقا للكلاب.	sami was a dog lover.
كان سامي علي العكس من ذلك تماما.	sami was the complete opposite.
كان سامي علي خطأ.	sami was wrong.
كان سامي علي وشك إنهاء حياته.	sami was about to end his own life.
كان سامي عمده البلده الصغيره.	sami was the mayor of the small community.
كان سامي عمودا في مجتمعه.	sami was a pillar in the community.
كان سامي غبيا بالكامل.	sami was a complete idiot.
كان سامي غضبانا.	fadil was pissed off.
كان سامي فخورا بالتباهي بسيارته.	sami was proud to show off his car.
كان سامي فخورا جدا بفرقته الموسيقيه.	sami was very proud of his music group.
كان سامي فضوليا لمعرفه إلي أي حد العربيه و العبريه متشابهتان.	fadil was curious to see to what extent arabic and hebrew were similar to one another.
كان سامي في الانتظار.	sami was waiting.
كان سامي في الخارج، يقود دراجته.	sami was out, riding.
كان سامي في الشاطئ تلك الليله.	sami was on the beach that night.
كان سامي في العربه.	sami was in the van.
كان سامي في القسم.	sami was in class.
كان سامي في المستشفي.	sami was in the hospital.
كان سامي في بدايه حياته.	sami was in the prime of his life.
كان سامي في بلد إسلامي.	sami was in a muslim country.
كان سامي في حاجه ماسه إلي المال.	sami was desperate for money.
كان سامي في حصه التاريخ.	sami was in his history class.
كان سامي في حصه دراسيه.	sami was in class.
كان سامي في حفل.	sami was at a party.
كان سامي في طريق العوده.	sami was on his route back.
كان سامي في طريقه للمغادره.	sami was leaving.
كان سامي في علاقه غير شرعيه مع امرأه متزوجه.	sami was having an affair with a married woman.
كان سامي في غرفه نوم ليلي.	sami was in layla's bedroom.
كان سامي في غيبوبه بسبب نقص السكر في الدم.	sami was in a hypoglycemic coma.
كان سامي في محطه الحافلات.	sami was at the bus station.
كان سامي في مشكله.	sami was in trouble.
كان سامي في مكان غير مسموح للسباحه.	sami was in a no-swim zone.
كان سامي في نزهه لتمشيه كلبه.	sami was walking his dog.
كان سامي قابعا في زنزانه سجن.	sami sat in a jail cell.
كان سامي قبيحا للغايه.	sami was so ugly.
كان سامي قد أعد ملابسه.	sami had packed clothes already.
كان سامي قد حزم ملابسه.	sami had packed clothes already.
كان سامي لا تزال تجمعه صداقه مع ليلي.	sami was still friends with layla.
كان سامي لا يزال أفضل صديق لفريد آنذاك.	sami was still best friends with farid at the time.
كان سامي لا يزال في العياده.	sami was still at the clinic.
كان سامي لا يزال في مقتبل عمره.	sami had his whole life ahead of him.
كان سامي لا يزال يبدو قلقا.	sami still appeared agitated.
كان سامي لا يزال يتحدث في الهاتف.	sami was still on the phone.
كان سامي لا يزال يسمع موسيقي النادي في آذانه.	sami could still hear the music from the club in his ears.
كان سامي لا يزال يشعر أن ليلي كانت تنظر إليه.	sami could still feel layla looking at him.
كان سامي لا يزال يعتمد علي الدعم المعيشي كي يستمر في الحياه.	sami was still on life support.
كان سامي لطيفا جدا.	sami was very friendly.
كان سامي مبتهجا كثيرا.	sami was full of life.
كان سامي مبرمج حاسوبيا.	sami was a computer programmer.
كان سامي متزوجا.	sami was married.
كان سامي متعبا.	sami was tired.
كان سامي متعطشا للدم.	sami was thirsty for blood.
كان سامي متعطشا للمال إلي حد كبير.	sami was very money-hungry.
كان سامي مجنونا.	sami was crazy.
كان سامي محبطا.	sami was depressed.
كان سامي محبوبا جدا عند أهل الحي.	sami was well liked in the community.
كان سامي محبوبا جدا في البلده.	sami was well liked in the community.
كان سامي محقا.	sami was right.
كان سامي مخبر شرطه.	sami was a police snitch.
كان سامي مخلصا تماما لمعلمه العابد للشيطان.	sami was completely devoted to his satanist master.
كان سامي مدرسا بديلا.	sami was a substitute teacher.
كان سامي مدرسا لليوغا.	sami was a yoga teacher.
كان سامي مدرسا متفرغا لعمله.	sami was a devoted teacher.
كان سامي مدرسا محترما جدا.	sami was a much esteemed teacher.
كان سامي مدرس رقص.	sami was a dance teacher.
كان سامي مدرسي للعربيه.	sami was my arabic teacher.
كان سامي مدمنا علي الجنس.	sami was addicted to sex.
كان سامي مدمنا علي مواقع التواصل الاجتماعي.	sami was addicted to social media.
كان سامي مديرا في شركه والمارت.	sami was a manager at walmart.
كان سامي مديري بالفعل.	sami was already my boss.
كان سامي مذعورا.	sami was paranoid.
كان سامي مذعورا بسبب رسائل مجهوله تلقاها.	sami was terrorized by anonymous letters.
كان سامي مذعورا و بحاجه لمساعده.	sami was deeply paranoid and in need of help.
كان سامي مذنبا.	sami was guilty.
كان سامي مراهقا يافعا و سهلا للإغراء.	sami was a young and impressionable teenager back then.
كان سامي مربيا للكلاب.	sami was a dog breeder.
كان سامي مرتاحا وسط المسلمين.	sami felt comfortable around muslims.
كان سامي مرتبكا.	sami was confused.
كان سامي مرتبكا جدا.	sami was very confused.
كان سامي مرتديا جواربه لكنه لم يكن مرتديا حذاءه.	sami had on socks but no shoes.
كان سامي مرغما علي الاعتراف أنه كان بحاجه للمساعده للبقاء علي قيد الحياه.	sami was forced to admit he needed help to survive.
كان سامي مستاءا بشده.	sami was extremely upset.
كان سامي مستاءا جدا.	sami was so upset.
كان سامي مستعدا.	sami was prepared.
كان سامي مستعدا أن يولي ليلي كل الاهتمام الذي كانت متعطشه له.	sami was ready to give layla all the attention she wanted.
كان سامي مستلقيا ميتا في غرفه نومه.	sami was lying dead in his bedroom.
كان سامي مستيقظا.	sami was awake.
كان سامي مسلما.	sami was muslim.
كان سامي مسلما جيدا.	sami was a good muslim.
كان سامي مسيحيا إنجيليا مخلصا.	sami was a devout evangelical christian.
كان سامي مسيحيا خالصا.	sami was a die-hard christian.
كان سامي مسيحيا متمسكا بدينه.	sami was a staunch christian.
كان سامي مسيحيا ولد من جديد.	sami was a born-again christian.
كان سامي مسيرا لمحل الأدوات الحديديه المحلي.	sami ran the local hardware store.
كان سامي مشوشا.	sami was confused.
كان سامي مشوشا جدا.	sami was very confused.
كان سامي مصابا بجرح في الرأس.	sami had an injury to his head.
كان سامي مصدوما و مشوشا.	sami was traumatized and confused.
كان سامي مضحكا للغايه.	sami was so funny.
كان سامي معتما بشؤونه فقط.	sami just minded his business.
كان سامي معتمدا علي الأقراص كي ينام.	sami depended on sleeping tablets.
كان سامي معتمدا علي الدعم المعيشي للاستمرار في الحياه.	sami was relying on life support.
كان سامي معروفا بسلوكه المتقلب و العدائي.	sami was known for his unpredictability and aggressiveness.
كان سامي مع كلابه.	sami was with his dogs.
كان سامي معلما للكتاب المقدس.	sami was a bible studies teacher.
كان سامي مفقودا.	sami was missing.
كان سامي مقيدا لسريره في المستشفي.	sami was shackled to his hospital bed.
كان سامي ملازما.	sami was a lieutenant.
كان سامي ملاكا.	sami was an angel.
كان سامي ملتصقا بالنافذه، ينتظر عوده أمه.	sami was glued to the window, waiting for his mother to appear.
كان سامي ملطخا بالدم.	sami had blood on him.
كان سامي ممددا في غيبوبه.	sami lay in a coma.
كان سامي مندهشا للغايه.	sami was very surprised.
كان سامي منزعجا.	fadil was pissed off.
كان سامي مهتما بشؤونه فقط.	sami was just minding his own business.
كان سامي مهتما بكل شخص في حياته.	sami cared about everyone in his life.
كان سامي مهرج القسم.	sami was the class clown.
كان سامي ميكانيكيا متعطشا لريح المال.	sami was money-hungry mechanic.
كان سامي نائما.	sami was sleeping.
كان سامي نائما في غرفه النوم.	sami was sleeping in the bedroom.
كان سامي نجما في فريق كره السله لجامعه كاليفورنيا بلوس أنجلس.	sami was a ucla basketball star.
كان سامي نمرا في السرير.	was he a tiger in bed?
كان سامي نور حياه ليلي.	sami was the light of layla's life.
كان سامي هنا في العياده هذا الصباح.	sami was here at the clinic this morning.
كان سامي هو المنشط.	sami is the dj.
كان سامي هو خط تحقيق الشرطه الوحيد.	sami was police only lead.
كان سامي واقفا خارج غرفه المستشفي.	sami stood outside the hospital room.
كان سامي واقفا في غرفه نومه.	sami was standing in his bedroom.
كان سامي وحيدا.	sami was lonely.
كان سامي و ليلي متطابقين تماما و كانا يبنيان حياه جديره بقصه خياليه.	sami and layla were a perfect match building a fairy tale life.
كان سامي و ليلي متوجهان نحو الطلاق.	sami and layla were heading towards a divorce.
كان سامي و ليلي من ممارسي الجنس الجماعي.	sami and layla were swingers.
كان سامي وليلي يخبئان سرا عائليا	sami and layla had a family secret.
كان سامي و ليلي يكادان لا يتفارقان.	sami and layla were almost inseparable.
كان سامي وليلي يمشيان معا.	sami and layla were walking together.
كان سامي يأخذ الكلب لتمشيته.	sami walked the dog.
كان سامي يأخذ كلبه إلي كل مكان.	sami took his dog everywhere.
كان سامي يأكل السوشي.	sami was eating sushi.
كان سامي يبحث في جيبه.	sami was reaching into his pocket.
كان سامي يبذر المال.	sami threw money like water.
كان سامي يبكي.	sami was crying.
كان سامي يبكي.	sami was in tears.
كان سامي يبكي في الشاطئ.	sami was crying on the beach.
كان سامي يتباهي بسيارته الرياضيه.	sami was showing off with his sports car.
كان سامي يتبول.	sami was peeing.
كان سامي يتجمد.	sami was freezing.
كان سامي يتحدث بسرعه.	sami spoke fast.
كان سامي يتحدث دائما عن المال.	sami always talked about money.
كان سامي يتحدث مع ليلي.	sami was talking to layla.
كان سامي يتحرك ببطؤ.	sami moved slow.
كان سامي يتخاصم مع ليلي.	sami was arguing with layla.
كان سامي يتسلق السلم.	sami was climbing the ladder.
كان سامي يتصرف هكذا.	sami acted like this.
كان سامي يتصل دائما.	sami always called.
كان سامي يتطلع كي يصبح أبا.	sami was looking forward to being a father.
كان سامي يتعاطي المخدرات.	sami used drugs.
كان سامي يتعاطي مخدر الأل أس دي كثيرا آنذاك.	sami was doing a lot of lsd at the time.
كان سامي يتغيب عن الدروس.	sami was skipping class.
كان سامي يتغيب عن الصف.	sami was skipping class.
كان سامي يتكلم مع ليلي.	sami was talking to layla.
كان سامي يتمتع بالحياه.	sami was enjoying life.
كان سامي يتمتع بسريه برفقه امرأه أخري بينما كانت زوجته تعاني من مرض ميؤوس و كانت بحاجه لدعمه أكثر من أي وقت مضي.	sami secretly enjoyed the company of another woman while his wife suffered a terminal illness and needed his support more than ever.
كان سامي يتناول أقراصه.	fadil was taking his pills.
كان سامي يتناول الدواء كي يهدء ألمه.	sami took medication to alleviate pain.
كان سامي يتناول الكثير من الدواء.	sami was on a lot of medication.
كان سامي يتناول دواءا من أجل معالجه اكتئابه.	sami was taking medication to deal with depression.
كان سامي يتوسل لحياته.	sami was begging for his life.
كان سامي يتوسل لحياته.	sami was pleading for his life.
كان سامي يثق بأمه.	sami trusted his mom.
كان سامي يثق بليلي.	layla trusted sami.
كان سامي يجري عمليات علي المرضي.	sami performed procedures on patients.
كان سامي يجعد الكيس.	sami was crumpling the bag.
كان سامي يحاول تحسين حياته.	sami was trying to better his life.
كان سامي يحاول ركوب موجه.	sami was trying to catch a wave.
كان سامي يحاول قتل ليلي.	sami was trying to kill layla.
كان سامي يحب أفلام الأكشن.	sami liked action movies.
كان سامي يحب الأبطال خارقين.	sami liked superheroes.
كان سامي يحب الأشياء الرفيعه في الحياه.	sami enjoyed the fine things of life.
كان سامي يحب الأطفال.	sami liked kids.
كان سامي يحب الحياه.	sami enjoyed life.
كان سامي يحب الحياه.	sami just loved life.
كان سامي يحب الحياه الجيده.	sami liked the good life.
كان سامي يحب الحياه السعيده.	sami liked the good life.
كان سامي يحب الحياه الفنيه الموسيقيه.	sami liked the music life.
كان سامي يحب الحياه كفنان موسيقي.	sami liked the music life.
كان سامي يحب الرقص.	sami liked to dance.
كان سامي يحب الرهان.	sami liked to gamble.
كان سامي يحب السفر.	sami liked to travel.
كان سامي يحب العاهرات.	sami liked prostitutes.
كان سامي يحب الفتيات.	sami loved girls.
كان سامي يحب الفتيات الصغيرات.	sami loved young girls.
كان سامي يحب القفازات.	sami liked gloves.
كان سامي يحب القمار.	sami loved gambling.
كان سامي يحب الكوكايين.	sami liked cocaine.
كان سامي يحب المقالب الجريئه جدا.	sami liked extreme pranks.
كان سامي يحب المقالب المبالغ فيها.	sami liked extreme pranks.
كان سامي يحب أن يتباهي.	sami liked being showy.
كان سامي يحب أن يساعد أبي.	sami liked helping dad.
كان سامي يحب أن يستمتع.	sami loved to have fun.
كان سامي يحب جلب الانتباه.	sami liked drawing attention.
كان سامي يحب حضور الحفلات.	sami liked to party.
كان سامي يحب حياه الرفاهيه.	sami liked the high life.
كان سامي يحب شرب الكحول.	sami liked to drink.
كان سامي يحب فن الخط العربي.	sami liked arabic calligraphy.
كان سامي يحب كره القدم.	sami liked soccer.
كان سامي يحب كونه مسلما.	sami loved being a muslim.
كان سامي يحب ليلي حقا.	sami really liked layla.
كان سامي يحب موسيقي الراب.	sami loved rap.
كان سامي يحتضر.	sami was dying.
كان سامي يحتفل.	sami was partying.
كان سامي يحدق.	sami was staring.
كان سامي يحدق بغضب.	sami was glaring.
كان سامي يحسب حبات مسبحته.	sami was fingering his prayer beads.
كان سامي يحضر بعض الحصص الدراسيه مع ليلي.	sami had a few classes with layla.
كان سامي يحضر بعض الدروس مع ليلي.	sami had a few classes with layla.
كان سامي يحمل قدرا كبيرا من الغضب في نفسه.	sami had so much anger inside of him.
كان سامي يختنق.	sami was suffocating.
كان سامي يخسر المال.	sami was losing money.
كان سامي يخشي علي حياته.	sami was in fear for his life.
كان سامي يخطط لعمليه اختطاف.	sami was planning a kidnapping.
كان سامي يدخل المستشفي كثيرا.	sami was in the hospital a lot.
كان سامي يدخن.	sami smoked.
كان سامي يدرب كلاب البحث عن الجثث.	sami trained cadaver dogs.
كان سامي يدرس الفراشات.	sami studied butterflies.
كان سامي يدرس أيام الثلاثاء و الجمعه.	sami had class on tuesdays and fridays.
كان سامي يدرس حصصا لدراسه الكتاب المقدس.	sami taught a bible study class.
كان سامي يدرس في مدرسه مسيحيه.	sami taught at a christian school.
كان سامي يدعو.	sami was praying.
كان سامي يدفع العربه.	sami was pushing the cart.
كان سامي يدمر حياه ليلي.	sami was ruining layla's life.
كان سامي يدير فندقا يتردد عليه الكثير من الزبائن.	sami was running a busy hotel.
كان سامي يذهب إلي الطبيب باعتياد.	sami went to the doctor regularly.
كان سامي يذهب إلي الكنيسه للتواصل مع رفقاء مسيحيين.	sami went to church to commune with fellow christians.
كان سامي يذهب إلي المسجد يوم الجمعه.	sami went to the mosque on friday.
كان سامي يذهب لتناول المشروبات الكحوليه كل نهايه أسبوع.	sami went drinking every weekend.
كان سامي يذهب للسباحه كل يوم جمعه.	sami went swimming every friday.
كان سامي يربح الكثير من المال.	sami earned good money.
كان سامي يربح المال بطريقه غير قانونيه.	sami was making money illegally.
كان سامي يربح المقابله.	sami was winning the game.
كان سامي يرتدي خواتما طوال الوقت.	sami always wore rings.
كان سامي يرتدي ملابس نسويه طوال الوقت.	sami dressed in female clothing full time.
كان سامي يرتدي نظارات.	sami was wearing glasses.
كان سامي يرتدي نظارات طوال الوقت.	sami used to wear glasses all the time.
كان سامي يرتعش.	sami was trembling.
كان سامي يرسم صورا عاريه.	sami drew nudes.
كان سامي يرقص.	sami was dancing.
كان سامي يرقص بشكل جميل.	sami danced beautifully.
كان سامي يرقن رساله لليلي.	sami was typing a letter for layla.
كان سامي يرمي أشياءا.	sami threw things.
كان سامي يريد إغلاق العياده.	sami wanted to close the clinic.
كان سامي يريد المزيد من المال.	sami wanted more money.
كان سامي يريد أن تحبه ليلي.	sami wanted layla to love him.
كان سامي يريد أن تكون ليلي صادقه معه.	sami wanted layla to be honest with him.
كان سامي يريد أن توليه الفتيات انتباههن.	sami wanted girls to pay attention to him.
كان سامي يريد أن يتقدم في حياته.	sami wanted to move on with his life.
كان سامي يريد أن يثير إعجاب ليلي.	sami wanted to impress layla.
كان سامي يريد أن يخرج أفلاما موسيقيه.	sami wanted to make musicals.
كان سامي يريد أن يستعيد حياته السابقه.	sami wanted his old life back.
كان سامي يريد أن يستمتع بحياته.	sami wanted to enjoy his life.
كان سامي يريد أن يضع حدا لحياته.	sami wanted to end his life.
كان سامي يريد أن يعيش حياه جيده.	layla wanted to live a good life.
كان سامي يريد أن يقضي أمسيته مع ليلي.	sami wanted to spend his evening with layla.
كان سامي يريد أن يكون صديقا لفريد.	sami wanted to be friends with farid.
كان سامي يريد أن يكون صديق لليلي.	sami wanted to be friends with layla.
كان سامي يريد أن يلتقط مثاليه.	sami wanted to take perfect pictures.
كان سامي يريد أن يمضي وقتا أكثر مع ليلي.	sami wanted to spend more time with layla.
كان سامي يريد أن ينتقم من ليلي.	sami wanted revenge on layla.
كان سامي يريد تعلم العديد من اللغات.	sami wanted to learn many languages.
كان سامي يريد حقا أن يثير إعجاب ليلي.	sami really wanted to impress layla.
كان سامي يريد حياه مريحه.	sami wanted a comfortable life.
كان سامي يريد دائما المزيد من المال.	sami always wanted more money.
كان سامي يريد شخصا يعتني به.	sami wanted someone to watch over him.
كان سامي يريد كلبا.	sami wanted a dog.
كان سامي يري سياره ليلي طوال الوقت.	sami saw layla's car all the time.
كان سامي يزور ابنته نهايه كل أسبوعين.	sami visited his daughter every other weekend.
كان سامي يسافر في الدرجه الأولي.	sami traveled first class.
كان سامي يسب.	sami cursed.
كان سامي يسبح في المسبح.	sami was swimming in the pool.
كان سامي يستحق قضاء وقت أكثر في السجن.	sami deserved more time in jail.
كان سامي يسترق النظر.	sami was peeking.
كان سامي يسترق النظر عبر النوافذ.	sami was peeping in the windows.
كان سامي يسترق النظر عبر ذلك الثقب.	sami was peeking through this hole.
كان سامي يستمتع بالحياه بشكل كامل.	sami enjoyed life fully.
كان سامي يستمع دائما للقنوات الإذاعيه المسيحيه.	sami was always listening to christian radio stations.
كان سامي يستمع لبريده الصوتي.	sami was going through his voice mail.
كان سامي يستمع لرسائله الصوتيه.	sami was going through his voice mail.
كان سامي يستمع للرسائل الصوتيه التي تلقاها.	sami was going through his voice mail.
كان سامي يستمع للموسيقي.	sami was listening to music.
كان سامي يستمع لموسيقي الروك المسيحيه.	sami was listening to christian rock.
كان سامي يستنشق الكحول.	sami was inhaling alcohol.
كان سامي يستهلك المخدرات.	sami used drugs.
كان سامي يسرق المال من ليلي.	sami stole money from layla.
كان سامي يسكر في الحديقه.	sami was getting drunk in the park.
كان سامي يسكر في الحظيره.	sami was getting drunk in the park.
كان سامي يسكن بجوار مسجد.	sami lived next to a mosque.
كان سامي يسمع أصوات تصدر من سقف غرفته.	sami used to hear sounds coming from the ceiling of his room.
كان سامي يسمع لحماس صبياني في صوت ليلي.	sami could hear in layla's voice a child-like excitement.
كان سامي يسير في طريق ستؤدي به إلي القيام بإنجازات قيمه في حياته.	sami was on a trajectory to do big things in life.
كان سامي يسيطر علي الناس من حوله.	sami dominated the people around him.
كان سامي يسيطر علي من حوله.	sami dominated the people around him.
كان سامي يشاهد فحسب.	sami was just watching.
كان سامي يشاهد فيديوهات علي اليوتوب.	sami was watching youtube.
كان سامي يشاهد قناه الجزيره.	sami was watching al jazeera.
كان سامي يشتري و يبيع السيارات.	sami was buying and selling cars.
كان سامي يشتغل كعامل صيانه بين الحين و الآخر.	sami worked occasionally as a handyman.
كان سامي يشتمني و هذا ليس سلوكا مسيحيه بالنسبه لي.	sami was cussing me and this is not very christian-like to me.
كان سامي يشرب الفودكا.	sami drank vodka.
كان سامي يشرب الكحول.	sami drank alcohol.
كان سامي يشرب الماء.	sami was drinking water.
كان سامي يشرب ذاك الدواء طوال الوقت.	sami would drink that medication all the time.
كان سامي يشرب في الحمام.	sami was drinking in the bathroom.
كان سامي يشعر بالسعاده بداخله.	sami had that joy inside of him.
كان سامي يشعر بفراغ بداخله.	sami had that emptiness inside him.
كان سامي يشعر بفراغ في نفسه.	sami had that emptiness inside him.
كان سامي يشهاد التلفاز.	sami was watching television.
كان سامي يصاب بنوبات.	sami had seizures.
كان سامي يصاحب أشخاصا خطيرين.	sami befriended dangerous people.
كان سامي يصارع مشاعر الذنب.	sami struggled with feelings of guilt.
كان سامي يصارع من أجل حياته.	sami was fighting for his life.
كان سامي يصطحب الفتيات، يقتلهن ثم يرمي جثثهن في الغابات.	sami picked up girls, murdered them, and dumped their bodies in the woods.
كان سامي يصلح عربته في الباحه الخلفيه.	sami was fixing his van in the backyard.
كان سامي يصلي.	sami was praying.
كان سامي يصنع حياته بنفسه.	sami made his life himself.
كان سامي يضاجع نساء مختلفه.	sami slept around.
كان سامي يضرب الجدار و يترك فيه ثقوبا.	sami punched holes in the wall.
كان سامي يضرب ليلي إلي حد إدخالها للمستشفي.	sami beat layla to the extent she was hospitalized.
كان سامي يطرح أسئله.	sami was asking questions.
كان سامي يطرح علي نفسه نفس السؤال.	sami used to ask himself the same question.
كان سامي يطور عاده أخطر.	sami was developing an even more dangerous habit.
كان سامي يعاني من الربو.	sami had asthma.
كان سامي يعاني من الربو.	sami suffered from asthma.
كان سامي يعاني من انهيار عصبي.	sami was having a breakdown.
كان سامي يعاني من مشكل إدمان علي الخمر.	sami had an alcohol problem.
كان سامي يعتبر فريد صديقا له.	sami considered farid his friend.
كان سامي يعتذر.	sami was apologizing.
كان سامي يعتقد أن الإسلام دين إرهاب.	sami believed that islam was a religion of terror.
كان سامي يعتقد أن كل المسلمين إرهابيون.	sami thought that all muslims were terrorists.
كان سامي يعتقد أن كل المسلمين يضربون النساء.	sami thought that all muslims hit ladies.
كان سامي يعتقد أنه يستحق أكثر مما منحته الحياه.	sami believed he deserved more than what he had been given in life.
كان سامي يعد الفيديوهات و يرفعها علي اليوتوب.	sami was doing youtube.
كان سامي يعرف الرسم بالريشه.	sami could paint.
كان سامي يعرف صوت ليلي.	sami knew layla's voice.
كان سامي يعشق الخطر و يتشوق للسرعه.	sami had a love for danger and a need for speed.
كان سامي يعطس.	sami was sneezing.
كان سامي يعلم.	sami knew.
كان سامي يعلم أن المسلمين أناس عاديون.	sami knew that muslims were ordinary people.
كان سامي يعلم أن ليلي كانت في خطر.	sami knew that layla was in danger.
كان سامي يعلم أن ليلي لم تكن في خطر.	sami knew layla was not in danger.
كان سامي يعلم أنه كان في خطر.	sami knew he was in danger.
كان سامي يعلم أنه لا ينبغي أن يواعد مريضه، لكنه لم يستطع مقاومه إعجابه بتلك الفتاه المصريه الجميله.	sami knew he wasn't supposed to ask his patient on a date, but couldn't resist the egyptian beauty.
كان سامي يعلم أنه من الخطأ أن يقتل أحد أناس آخرين.	sami knew it wasn't right to take other people's lives.
كان سامي يعلم أين هو قسمه.	sami knew where his class was.
كان سامي يعمل في المستشفي كمساعد تمريض.	sami worked at the hospital as an orderly.
كان سامي يعمل في ذلك المطعم.	sami used to work at the restaurant.
كان سامي يعمل في شركه لسيارات الإسعاف.	sami worked for an ambulance dispatch company.
كان سامي يعمل في عياده للخصوبه.	sami worked at a fertility clinic.
كان سامي يعمل في وزاره الصحه.	sami worked for the ministry of health.
كان سامي يعمل لساعات طويله.	sami worked long hours.
كان سامي يعيش حياه جميله.	sami was having a nice life.
كان سامي يعيش حياه رفيعه المستوي.	sami had a life of privilege.
كان سامي يعيش حياه ساحره.	sami lived a charmed life.
كان سامي يعيش حياه عاديه للغايه.	sami led a very ordinary life.
كان سامي يعيش حياه عاديه و متواضعه.	sami lived a modest ordinary life.
كان سامي يعيش حياه عديمه الأخلاق.	sami led an immoral life.
كان سامي يعيش حياه لاأخلاقيه.	sami led an immoral life.
كان سامي يعيش حياه مبهجه للغايه.	sami had a very bubbly life.
كان سامي يعيش حياه مجنونه.	sami led a crazy life.
كان سامي يعيش حياه مختلفه كليه.	sami lived a totally different life.
كان سامي يعيش حياه مريحه.	sami lived a comfortable life.
كان سامي يعيش حياه مزدوجه.	sami led a double life.
كان سامي يعيش حياه مزدوجه.	sami was living a double life.
كان سامي يعيش حياته فقط.	sami was just living his life.
كان سامي يعيش حياته علي وتيره سريعه.	sami was living the fast life.
كان سامي يعيش علي متن سفينه.	sami lived on a boat.
كان سامي يعيش في حي سكني.	sami lived in a bedroom community.
كان سامي يعيش في حي يعج بالعنف.	sami lived in a neighborhood where there was a lot of crime.
كان سامي يعيش في ضواحي هذه البلده الهادئه.	sami lived in the outskirts of this sleepy town.
كان سامي يعيش في قصر فخم بالقاهره.	sami lived in an opulent mansion in cairo.
كان سامي يعيش في مجمع مسيج.	sami lived in a gated community.
كان سامي يعيش في مزرعه.	sami lived on a farm.
كان سامي يعيش في هذا الحي.	sami lived in this neighborhood.
كان سامي يعيش نمط حياه خطير جدا.	sami lived a very dangerous lifestyle.
كان سامي يغازل المدرسات.	he flirted with the teachers.
كان سامي يغرس الأشجار.	sami planted trees.
كان سامي يغير ملابسه كل يوم.	sami changed clothes on a daily basis.
كان سامي يفقد ثروته.	sami was losing his fortune.
كان سامي يقابل العاهرات.	sami was seeing prostitutes.
كان سامي يقابل نساءا في حياته.	women came into sami's life.
كان سامي يقتل القطط.	sami killed cats.
كان سامي يقتل جشعا.	sami killed for greed.
كان سامي يقدم المال لجميع الناس.	sami gave money to everybody.
كان سامي يقضي أفضل حفله هالويين في حياته.	sami was having the best halloween of his life.
كان سامي يقضي بين ست و سبع ساعات يوميا و هو يتدرب.	sami spent about six to seven hours per day exercising.
كان سامي يقضي وقتا في العياده مع ممرضه اسمها ليلي.	sami has been spending time in the clinic with a nurse named layla.
كان سامي يقطن بجوار مسجد.	sami lived next to a mosque.
كان سامي يقل الفتيات، يقتلهن ثم يرمي جثثهن في الغابات.	sami picked up girls, murdered them, and dumped their bodies in the woods.
كان سامي يكتب الشعر.	sami wrote poetry.
كان سامي يكره الانتقال.	sami hated moving.
كان سامي يكره الانتقال للعيش في مكان آخر.	sami hated moving.
كان سامي يكره المسلمين.	sami hated muslims.
كان سامي يكلم مثل فريد.	sami talked like farid.
كان سامي يلاحق امرأه شقراء أخري.	sami was following another blond-haired woman.
كان سامي يلعب لعبه مع الشيطان.	sami was playing with the devil.
كان سامي يلعب مع الأطفال في المسبح.	sami was playing with the kids in the pool.
